AuthorID,Author,Date,Content,Attachments,Reactions
"819708932876140575","shanelavalette#2830","2021-11-28","https://docs.google.com/spreadsheets/d/1VGCIpQQHSlJ9-l_8FTm2NbIiiRwzbBPDLTuvmFTrgDo/edit?usp=sharing","",""
"746551601296179231","DT | Luiz#4149","2021-11-28","This is not the list I believe","",""
"746551601296179231","DT | Luiz#4149","2021-11-28","There were something else that was produced","",""
"693277954519728138","Lapsus#4632","2021-11-28","Where is the other doc?","",""
"746551601296179231","DT | Luiz#4149","2021-11-28","https://docs.google.com/document/u/0/d/1Vu3dy0KkOXWucRLX88WoGH_mucAXWv9g5usla_65pvc/mobilebasic","","👍 (1)"
"693277954519728138","Lapsus#4632","2021-11-28","So the other one is the very early days proposed initial founding members list, there are some names that didnt got transferred; we can now apply those mechanisms to sieve and keep adding to this second doc then. A 'why' section for each name as a first step?","",""
"819708932876140575","shanelavalette#2830","2021-11-28","So, to clarify, which of these docs will be the place for this to be done? https://discord.com/channels/908059371718709288/908079682824601670/914668931476770816","",""
"819708932876140575","shanelavalette#2830","2021-11-28","The first one has fields, which may be useful for this particular idea—that is, if it's moving forward in some way.","","👍 (2)"
"693277954519728138","Lapsus#4632","2021-11-28","I agree; so lets pick one as the working tool and cfr the names with the other one. Maybe transfer this second list which is more recent to the first doc and add the 'why' field?","",""
"693277954519728138","Lapsus#4632","2021-11-28","Then if someone wants to recover any names or add new ones, they still have the old list too as a ref further down the doc -we can remove the duplicates from there-","",""
"693277954519728138","Lapsus#4632","2021-11-28","Or, alternatively, we can just add the 'why' to the gdoc list and transfer any name that you still think needs to be there.","",""
"693277954519728138","Lapsus#4632","2021-11-28","Or shall we go Notion?","","✅ (1)"
"859522510176124971","carlovanderoer#0512","2021-11-29","I think moving forward the spreadsheet will be cleaner right? Given we are focusing on work that is currently in the NFT space as opposed to onboarding, how do we feel about projects we know are dropping soon which we can keep an eye on?","","👍 (1)"
"859522510176124971","carlovanderoer#0512","2021-11-29","We are comfortable looking at primary and secondary sales correct? Do we want to limit the number of initial nominations to 4 or 5 per nominator or just let it flow and address if it gets out of hand?","","👍 (1)"
"859522510176124971","carlovanderoer#0512","2021-11-29","Like @justinaversano.eth, plenty of love for Penelope's work","",""
"868620933315837952","MichaMandelberg#1138","2021-11-29","GM everyone! Thrilled to be a member of RAW DAO! Just read the ""proposal for the curatorial vision"" in notion and really liked what I saw. Great approach with those two collections, one focused on established and one on emerging artists/art. Curious how all this will unfold. Will there be a certain format to discuss aspects of our curatorial approach before voting on it? Photography is such a vast and diverse artform. A lot to contemplate...","",""
"719483666849333259","ivolazaro#9953","2021-11-29","GM everyone! I feel we have a lot of work and an amazing journey ahead of us.","",""
"719483666849333259","ivolazaro#9953","2021-11-29","I will do my best to bring some names to the table, from unknown to some already known names in the market, either from the traditional market and crypto.","",""
"719483666849333259","ivolazaro#9953","2021-11-29","I will try to get some attention to photographers exploring sensual/nude/erotic work as I do too.","",""
"719483666849333259","ivolazaro#9953","2021-11-29","Regarding some historic photographers, I am aware Flash Mints will have some drops from different photographers, from Chimodu to Ricky Powell. I believe this kind of work should be part of the collection too.","",""
"821670829099712522","alexandruchitu.eth#6244","2021-11-29","So, for me to be clear, in the next period we will be able to propose photographers for 
“The New Community Photography Collection” , right ?","",""
"821670829099712522","alexandruchitu.eth#6244","2021-11-29","And maybe a dumb question , but I m asking myself and I want to know your opinion too. What should be our position in front of other big collectors ( like @WhaleShark ) ? Or how we should see him? I mean, we wanna collect the best photos available on the NFT space, so we should see him like a competitor for us?","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-29","Gm! Should we schedule a call for the curation committee and founding members to kick off the curation process?","","heart (9),ToadSquirtlevibe (2)"
"868620933315837952","MichaMandelberg#1138","2021-11-29","Think we should look for the most significant/thrilling/compelling artistic positions. Competing with ""whales"" seems pointless. They eat a lot of plankton and krill.  Collecting some real big art-animals seems better than amassing a lot of algae  🐳","",""
"821670829099712522","alexandruchitu.eth#6244","2021-11-29","Nice play of words ser !","",""
"868620933315837952","MichaMandelberg#1138","2021-11-29","happy you like em. :hearts:","",""
"868620933315837952","MichaMandelberg#1138","2021-11-29","And I am so incredibly curious to see where this process of curating together (more or less) will lead us. So many questions to ask, so many answers to find. Exciting.","",""
"868620933315837952","MichaMandelberg#1138","2021-11-29","Photography is so all-over-the-place that finding a distinct position in curating/collecting is essential and challenging.","",""
"868620933315837952","MichaMandelberg#1138","2021-11-29","Off we go...","",""
"869997214221623296","foto.eth#8472","2021-11-29","yes - this would be great. I'd also love to set up some dates for the committee to meet so they're on the calendar and we can all work towards some specific milestones for those meetings.","",""
"474046746163412993","Freddie#0100","2021-11-29","Yes please 😊","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-29","💯  agree! That way we can action sprints and keep the ball moving.","",""
"869997214221623296","foto.eth#8472","2021-11-29","@hddamico do we have a target date set for the first committee acquisition proposal? then, we can work backwards from there","",""
"861685730937274409","b123#2778","2021-11-29","You should not compete with them but be ahead of them. That's the challenge, and with the network we have here, we should be able to do that.","",""
"861685730937274409","b123#2778","2021-11-29","For example, I am a curator at an nft dao and I have just drafted a new strategy for the next six months in which photography is a key focus. For this I have prepared a shortlist of 50 photographers.  I am also happy to share this knowledge here at RAW.","",""
"861685730937274409","b123#2778","2021-11-29","The attached link is for example very useful for understanding the current status. https://supernifty.fan/rankings/photography_collections","","👍 (1)"
"827362797792788520","hddamico#7928","2021-11-29","wow, how do you rank collections? which parameters?","",""
"354075032479334402","FramesFL#3512","2021-11-29","I can help with legacy photographers, I meet several gallery owners in different places around the world who can put us in contact with photographers that dont have contact with crypto yet","",""
"354075032479334402","FramesFL#3512","2021-11-29","Wow! great rank","",""
"859522510176124971","carlovanderoer#0512","2021-11-29","Thanks for sharing @b123 . I see lots of work has gone into this. What designates a collection or photographer you decide to track? Ranking is by volume traded?","",""
"861685730937274409","b123#2778","2021-11-29","This ranking was based on volume. I didn't make this ranking but It is very usefull","",""
"803812987529330698","pvg23#3896","2021-11-29","this is awesome","",""
"827362797792788520","hddamico#7928","2021-11-29","primary + secondary?","",""
"861685730937274409","b123#2778","2021-11-29","I'm not sure. I think it is primary","",""
"827362797792788520","hddamico#7928","2021-11-29","tks, @b123 would love to learn more! 

i do believe that creating a more active secondary market is key to develop the space.","",""
"859522510176124971","carlovanderoer#0512","2021-11-29","Couldn't agree more","",""
"861685730937274409","b123#2778","2021-11-29","If we are talking about my own list which I have not shared now I am mainly using my own interpretation on aesthetics and marketability in the long run.","",""
