AuthorID,Author,Date,Content,Attachments,Reactions
"389803426877407232","lucaspon#3865","2021-11-21","Created this for upcoming work on liquidity pools and accounting","","💎 (15)"
"827362797792788520","hddamico#7928","2021-11-21","great","",""
"181918945840726017","glory#5406","2021-11-21","👍","",""
"693277954519728138","Lapsus#4632","2021-11-21","👊","",""
"704460941772849302","cooper#6009","2021-11-21",":PepeMoneyRain:","","😆 (1)"
"820715430683082835","omarzrobles#9845","2021-11-21","✌️","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-21","💸","","😆 (1)"
"746159224681267250","0xSam#1111","2021-11-22",":partygritty:","","😆 (1)"
"202337592350343168","RizacanKumas#4178","2021-11-22","https://tenor.com/view/bugs-bunny-looney-tunes-cash-money-counting-money-gif-17544086","","PepeTux (1)"
"181918945840726017","glory#5406","2021-11-22","What do we think about setting up an OTC channel until liquidity is up and running? It would be short lived, but would (hopefully) allow us a way to get a sense on where the market is pricing the token?","",""
"827362797792788520","hddamico#7928","2021-11-22","think we should do that","",""
"693277954519728138","Lapsus#4632","2021-11-22","Yes, we had some requests for a way out already so let's get people an outlet should they need it.","",""
"802980996114415648","justinaversano.eth#9406","2021-11-22","Lol what","","cclol (2)"
"181918945840726017","glory#5406","2021-11-22","Can't escape paper hands...","",""
"802980996114415648","justinaversano.eth#9406","2021-11-22","Lock me up","",""
"802980996114415648","justinaversano.eth#9406","2021-11-22","Lock em up","",""
"693277954519728138","Lapsus#4632","2021-11-22","Hahah, yeah, some people asking ""ok we can invest but WEN OUT"" : D","",""
"802980996114415648","justinaversano.eth#9406","2021-11-22","Lol 😂","","😆 (1)"
"802980996114415648","justinaversano.eth#9406","2021-11-22","What are they trying to sell","",""
"693277954519728138","Lapsus#4632","2021-11-22","Idk if trying but they wanted a path for both the fractions and the tokens!","",""
"181918945840726017","glory#5406","2021-11-22","hey, if they wanna sell, i'll buy","","🔥 (6),catJAM (2)"
"819708932876140575","shanelavalette#2830","2021-11-22","That’s the spirit! 🔥","",""
"827362797792788520","hddamico#7928","2021-11-22","i’m hungry","",""
"181918945840726017","glory#5406","2021-11-22","@lucaspon can we get this set up and rdy to launch in conjunction with when the RAW airdrop goes out?

I can maintain the orderbook for it","","Fire1_White (1),loomrun (1)"
"389803426877407232","lucaspon#3865","2021-11-22","yep! 🙂","",""
"181918945840726017","glory#5406","2021-11-22","awesome thanks","",""
"827362797792788520","hddamico#7928","2021-11-22","nice","",""
"704460941772849302","cooper#6009","2021-11-24","lets gooo would love to participate in this 👀  please ping me when OTC is up ahead of the LP","",""
"704460941772849302","cooper#6009","2021-11-24","im sure many are interested lol","",""
"704460941772849302","cooper#6009","2021-11-24","https://tenor.com/view/omg-excited-pluto-dog-drooling-gif-15437471","",""
"704460941772849302","cooper#6009","2021-11-24","$RAW","",""
"704460941772849302","cooper#6009","2021-11-24","you guys have a lot of experience trading $prints OTC. Is this just a manual orderbook based on trust? How does one execute a trade trustlessly in this scenario? Since its not via AMM. I know sudoswap etc for nft trading, but what do you guys use for ETH/token OTC trades?","",""
"704460941772849302","cooper#6009","2021-11-24","ty in advance","",""
"181918945840726017","glory#5406","2021-11-24","manual orderbook, yes, but not based on trust. typically use airswap or sudoswap to set up trades","","💯 (2)"
"181918945840726017","glory#5406","2021-11-24","i don't think the OTC channel will be a forever solution though, will just be a stopgap until we can get a good source of dex liquidity up and running","",""
"704460941772849302","cooper#6009","2021-11-24","oh i didnt realize sudoswap supports ERC-20s. i dont know airswap. thanks","",""
