AuthorID,Author,Date,Content,Attachments,Reactions
"704460941772849302","cooper#6009","2021-11-14",":ToadDisco:","",""
"202337592350343168","RizacanKumas#4178","2021-11-14",":DANCE2:","","discodog (1)"
"802980996114415648","justinaversano.eth#9406","2021-11-14","We should create a channel for photographers collections to support?","","🤘 (3),ToadYes (2)"
"832722913765097535","chadwicktyler#3331","2021-11-15","could be fly, like that","","ditto (1)"
"746551601296179231","DT | Luiz#4149","2021-11-15","You mean like a channel for people to drop their artwork? I feel there’s no relevant engagement in those channels","",""
"746551601296179231","DT | Luiz#4149","2021-11-15","@everyone a few photographers reached out to me asking to participate in the donation to support the auction. Maybe we should discuss that here","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","I think we shouldn’t be messing up the plan as we are being scrutinized. Our we add more people now lt might send the wrong slgnal","",""
"833922506247110656","lightchronicler#4067","2021-11-15","I’m not following. Please explain.","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","Yes. There are many questions about the RAwDao and we should not add last minute “new things “","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","Please see the discord","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","🤜🤛","",""
"746551601296179231","DT | Luiz#4149","2021-11-15","But would it hurt to just announce more people donating work? I don’t see how it could be bad","",""
"855092404147322910","RobinFriend#7507","2021-11-15","Apologies but I missed the info about donation. More than happy to donate a piece from next collection Apiary if that would be of use","","❤️ (2)"
"817469690347257877","alexcartagenamex#4215","2021-11-15","lt ls up to you guys. We have less than 2hrs to coordinate communications with @Lapsus so we can lnform it ln a correct way.","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","We went to sleep at 6:30 am copy editing everything","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","Don’t know if we can pull it off","",""
"746551601296179231","DT | Luiz#4149","2021-11-15","my suggestion: could we do after the bidding closes?","","ToadYes (2),star (1)"
"746551601296179231","DT | Luiz#4149","2021-11-15","so it's a nice surprise on top","",""
"746551601296179231","DT | Luiz#4149","2021-11-15","its also a big plus for our community, these are the people who will join us as members!","","🖤 (1),heart (2)"
"817469690347257877","alexcartagenamex#4215","2021-11-15","Ok. Great ldea.","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","Someone needs to do thls as am about to fly to Mexico","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","From Paris","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","No tlme to organize","","pepeLove (1)"
"746551601296179231","DT | Luiz#4149","2021-11-15","No problem -  @hddamico could coordinate with the rest of the photogs","",""
"817469690347257877","alexcartagenamex#4215","2021-11-15","Perfecto 😍👌🏼","",""
"820715430683082835","omarzrobles#9845","2021-11-15","I totally also missed the conversation about donations…was that something that was talk about privately?","",""
"704460941772849302","cooper#6009","2021-11-15","agree. great idea to do so after bidding closes as a bonus - and underlining who else is a photographer-member","",""
"704460941772849302","cooper#6009","2021-11-15","partybid going well so far!! looking forward to ohhshiny's show this morning too","",""
"746551601296179231","DT | Luiz#4149","2021-11-15","This was organized by a subgroup of photographers (it even includes people who were not in the founding group). That was 100% organic, not sure exactly where people organized originally","",""
"746551601296179231","DT | Luiz#4149","2021-11-15","but if people want to do it we can do the same, no problem","",""
"820715430683082835","omarzrobles#9845","2021-11-15","👍🏽","",""
"746551601296179231","DT | Luiz#4149","2021-11-15","it came to me as a done deal, and I saw no point in just accepting it!","",""
"855092404147322910","RobinFriend#7507","2021-11-15","Seems to be ticking over nicely","",""
"876858550771650580","gallegosfer#9129","2021-11-15","yeah, seems to be picking up too","",""
"833922506247110656","lightchronicler#4067","2021-11-15","Love it! Count me in.","",""
"751493587371556933","claudia#0273","2021-11-15","Would love to also be involved! I missed the details on this as well.","",""
"833922506247110656","lightchronicler#4067","2021-11-15","I think we should reach out to all OG photogs who are as of yet not aware that this is an option. To donate an artwork for a raffle amongst all new members. I think it is a great gesture to the new members and a nice surprise.","",""
"827362797792788520","hddamico#7928","2021-11-15","@lightchronicler @claudia @omarzrobles  will DM you about donation","","👍 (4),ToadSquirtlevibe (1)"
"746551601296179231","DT | Luiz#4149","2021-11-15","should we add a channel for $FLAMES holders? I feel that if we want to keep doing auctions like this (they're very fun and could be great to build community) it's one of our responsibilities to create value for the fractionalized artwork","","🤝 (1)"
"827362797792788520","hddamico#7928","2021-11-15","definitely","",""
"827362797792788520","hddamico#7928","2021-11-15","@Photographers pls dm in case you are interested in donating pieces to the coming members of our community 🧡","","catJAM (2)"
"693277954519728138","Lapsus#4632","2021-11-15","I was proposing the same idea in the other chat we have sorry. Agreed! Lets gather the second group of donators. They can decide if they want to do the new raffle after the bid closes, to celebrate, amongst all members of the RAW (including this time Fingerprints members too?).","",""
"693277954519728138","Lapsus#4632","2021-11-15","We could have it being for a near term future occasion if they preferred that, aternatively.","",""
"693277954519728138","Lapsus#4632","2021-11-15","But I like celebration!","",""
"855092404147322910","RobinFriend#7507","2021-11-15","That was a fantastic ohhshiny space. Congratulations to @justinaversano.eth @DT | Luiz and everyone else involved","",""
"746551601296179231","DT | Luiz#4149","2021-11-15","We made it more focused on the piece itself, because ultimately the bulk of the value people is coming from the auction of the piece. If we follow this model to raise money with other pieces, we could do the same for our other collected works","",""
"876858550771650580","gallegosfer#9129","2021-11-15","it could be dangerous for it to take that route, if it starts feeling as building hype for the sake of it I think we can scare some important artists and collectors who are looking for value and not hype ... I would be a bit careful with the way we manage that kind of communication","","🤘 (3)"
"833922506247110656","lightchronicler#4067","2021-11-15","That was a great Spaces. Maybe someone here can help. Some people missed out on the POAP. Was there a time limit? They did put in a party bid. Would be nice if they can have the POAP","",""
"704460941772849302","cooper#6009","2021-11-15","very clever model. incentivizing token purchase through art auction. love it. these are just tokens held by the RAWDAO treasury otherwise. i look forward to seeing some documentation on token economics. so much to be considered with this, i know you guys have been plugging away nonstop at this.","","👍 (2)"
