AuthorID,Author,Date,Content,Attachments,Reactions
"827362797792788520","hddamico#7928","2021-11-29","gm provisional committee members 🙌🏻","",""
"827362797792788520","hddamico#7928","2021-11-29","☀️","",""
"802980996114415648","justinaversano.eth#9406","2021-11-29","GM","",""
"474046746163412993","Freddie#0100","2021-11-29","gm","",""
"474046746163412993","Freddie#0100","2021-11-29","excited to be here!","",""
"389803426877407232","lucaspon#3865","2021-11-29","@hddamico ideally we grant the curation committee role instead of allowing members in here directly","",""
"827362797792788520","hddamico#7928","2021-11-29","hmmm ok","",""
"474046746163412993","Freddie#0100","2021-11-29","While you all figure out the labels etc. I'll kick off the discussion. I spent the past hour reading through the whole gov channel and some really great conversation happening. In terms of the first acquisition I think moving fast and making a big splash makes a lot of sense. It sends a strong signal to the overall crypto community and creates a foundational piece that we can start building around.","","👍 (4),💯 (1)"
"827362797792788520","hddamico#7928","2021-11-29","https://foundation.app/@mpmb7/~/112600","",""
"827362797792788520","hddamico#7928","2021-11-29","1.20 ETH
Japanese artist","",""
"869997214221623296","foto.eth#8472","2021-11-29","I fully agree! It's an amazing opportunity to demonstrate our mission","",""
"827362797792788520","hddamico#7928","2021-11-29","https://twitter.com/mpmb7?s=21","",""
"827362797792788520","hddamico#7928","2021-11-29","would be nice to kick this off with something from Asia, should bring lots of attention from a different community","",""
"827362797792788520","hddamico#7928","2021-11-29","btw should we present ourselves in #🎨│curation as members of the provisional committee with some background for each one?","",""
"371604298272079874","blockbird#2283","2021-11-29","gm!","",""
"474046746163412993","Freddie#0100","2021-11-29","Not sure what the protocol calls for. I think it is up to the founding members to decide. I do think mods and/or founding members need to be ready to answer why those people were chosen (I think it's more credible coming from you than from any of the selected collectors). Don't want anyone feeling bad about it off the bat imo.","","💯 (1)"
"371604298272079874","blockbird#2283","2021-11-29","100% agree with this, and also really enjoyed crawling back thru the convos! so much good thought in there","","vhigh (4)"
"371604298272079874","blockbird#2283","2021-11-29","I was digging thru this too yesterday, it's also been shared in other channels. great way of considering popularity and presence of the early nft photographers... https://supernifty.fan/rankings/photography_collections","","🧠 (1)"
"371604298272079874","blockbird#2283","2021-11-29","it only includes projects that the curator has found, it's far from all inclusive. I know of several photo collections with 10 eth + volume that aren't there","",""
"371604298272079874","blockbird#2283","2021-11-29","but still, very helpful nonetheless!","",""
"474046746163412993","Freddie#0100","2021-11-29","Super helpful site but I do think it paints a slightly misleading picture in terms of quality by only going with volume. Not necessarily the top ranked ones but as you get further down the list. I'm hoping part of RAW's mandate is leading by example in terms of the work we acquire. My picks would be slightly different if I were to only consider price appreciation vs. the significance of the work. The ones that check both boxes seem like obvious buys to me.","","💯 (2)"
"869997214221623296","foto.eth#8472","2021-11-29","I fully agree and I think that's also the beauty of having artists and collectors on this committee","",""
"474046746163412993","Freddie#0100","2021-11-29","Would it make sense for all of us to get on a call this tuesday/wednesday to all get on the same page? I'm sure @DT | Luiz has some FP experience that would be valuable to us all.
One of the things I'm curious about is optics. I actually think the most solid first buy would be a TF, Carpooler or one of Rueben Wu's SR releases but with 2/3 of those artist being on this committee I'm not sure that would be received well.","","💯 (2)"
"802980996114415648","justinaversano.eth#9406","2021-11-29","I agree. We can always start small and focused and see what the community wants to do in terms of the bigger collections like ours","",""
"802980996114415648","justinaversano.eth#9406","2021-11-29","Or we do raises for those certain pieces","",""
"802980996114415648","justinaversano.eth#9406","2021-11-29","A Ruben wu piece would be an all star purchase","","fire (2)"
"802980996114415648","justinaversano.eth#9406","2021-11-29","We should definitely act fast and make our first purchase soon. Even if it’s something small. Just to get the ball rolling and people excited","",""
"869997214221623296","foto.eth#8472","2021-11-29","yes, this sounds like a good plan - wednesday is a bit more open for me, but i can try to make tuesday work if that's better for everyone else","","👍🏻 (1)"
"802980996114415648","justinaversano.eth#9406","2021-11-29","Should we start posting pieces here now and vote on them?","",""
