AuthorID,Author,Date,Content,Attachments,Reactions
"827362797792788520","hddamico#7928","2021-12-09","Hi all, created this channel so we can work together in the acquisition announcements, marketing and PR.

We will need to come up with a plan including: content creation, social media, spaces, and whatever we think it is appropriate to do in other to make a big splash.

All the info to be shared here must be treated as **strictly confidential**.","","👍 (3)"
"827362797792788520","hddamico#7928","2021-12-09","welcome @Ari Greenberg","",""
"751493587371556933","claudia#0273","2021-12-09","Amazing. Thanks for organizing this @hddamico.","",""
"751493587371556933","claudia#0273","2021-12-09","And welcome @Ari Greenberg !","",""
"827362797792788520","hddamico#7928","2021-12-09","we will communicate to this group our first collected artist latter today","","💯 (1)"
"827362797792788520","hddamico#7928","2021-12-09","Diana is our first artist. 🙂","",""
"827362797792788520","hddamico#7928","2021-12-09","@claudia and I had a call with her. She is super happy and available to help with all the PR. Including Spaces.","","💯 (1)"
"827362797792788520","hddamico#7928","2021-12-09","We need to make the best of it.","",""
"751493587371556933","claudia#0273","2021-12-09","I mentioned in the call the idea of doing a press release as a more formal way of announcing Diana as our acquisition and she loved it. Do we have a RAW DAO Medium or Wordpress we could use to do this? For the written material I also think it would be important to get some words from the curatorial committee as to why she was selected.","",""
"751493587371556933","claudia#0273","2021-12-09","Few things I'm thinking about for the announcement:

- Twitter Thread Announcement (Diana's bio, a bit about the works, why we're happy to have her etc.)
- Press Release (More detailed version of the thread)
- Twitter Spaces celebrating acquisition, perhaps hosted by RAW and @justinaversano.eth ?

What will really generate buzz around this are the Founding Artists sharing this content within their communties, as well as members. We need to share, share, share. Retweet reply and repeat haha.","",""
"751493587371556933","claudia#0273","2021-12-09","Let me know if anyone has more ideas or wants to help out with any of the above.","","👍 (2)"
"389803426877407232","lucaspon#3865","2021-12-09","we don't, we could setup a mirror.xyz","",""
"389803426877407232","lucaspon#3865","2021-12-09","no idea how we'd do it though since I don't think mirror works with multisig vaults 🤔","",""
"389803426877407232","lucaspon#3865","2021-12-09","perhaps a medium might be easier.","",""
"389803426877407232","lucaspon#3865","2021-12-09","I can do one for us","",""
"751493587371556933","claudia#0273","2021-12-09","Whichever option is easier! I haven't set one up before either, but we basically just need some kind of blog platform.","",""
"827362797792788520","hddamico#7928","2021-12-09","I agree. 

Diana is available for Spaces, tomorrow. @DT | Luiz @justinaversano.eth are you available to host it?","",""
"827362797792788520","hddamico#7928","2021-12-09","- Twitter Thread Announcement (Diana's bio, a bit about the works, why we're happy to have her etc.) - 
- Press Release (More detailed version of the thread)

who can work on this? we need to start the announcement tomorrow. we have a big line of artists to be announced until the end of the year 🙂","",""
"802980996114415648","justinaversano.eth#9406","2021-12-09","Tomorrow is no go for me. Many meets and calls tomorrow in nyc","",""
"827362797792788520","hddamico#7928","2021-12-09","Monday? She can't over the weekend.","",""
"827362797792788520","hddamico#7928","2021-12-09","Btw if you think we should add someone else here to help with the content pls let me know.","",""
"827362797792788520","hddamico#7928","2021-12-09","@Ari Greenberg let me know should want to make a quick call on this.","",""
"746551601296179231","DT | Luiz#4149","2021-12-09","I agree with @hddamico it would be important to release it sooner than later","",""
"746551601296179231","DT | Luiz#4149","2021-12-09","Wouldn’t condition it to a Twitter spaces, that we can do later","",""
"746551601296179231","DT | Luiz#4149","2021-12-09","But the Twitter thread is very important","",""
"693277954519728138","Lapsus#4632","2021-12-10","Medium is super easy; it takes a few seconds! Mirror is ofc the standard for crypto, accepts donations, allows for us to sell the articles, etc. And we do have one! https://mirror.xyz/0x87a41F37f4195F8313751180151e56FA5ea5CF0c","",""
"751493587371556933","claudia#0273","2021-12-10","Fantastic! Maybe we just use this then","",""
"751493587371556933","claudia#0273","2021-12-10","I can get a start on the press release + Twitter thread tomorrow","",""
"751493587371556933","claudia#0273","2021-12-10","@Curation Committee Could I get a few words about why Diana was selected when someone has a moment? 3-5 sentences should be good.","",""
"751493587371556933","claudia#0273","2021-12-10","And a few questions from me:

- Was it just ""Reimaging Black Gold"" that was acquired or are there more?
- How much was that work acquired for? I think I saw 10 ETH on OpenSea
- How many RAW tokens is she receiving? 500?

I can grab Diana's bio from her website but I'll reach out to her and get some more information about her image + some thoughts about the acquisition","",""
"827362797792788520","hddamico#7928","2021-12-10","think we should use Mirror for the full recap.

text with all the rationale from de committee, including other artists yet to be announced","",""
"827362797792788520","hddamico#7928","2021-12-10","10 ETH
$500 RAW","",""
"827362797792788520","hddamico#7928","2021-12-10","think @justinaversano.eth is the best one to provide context here for Diana.","",""
"827362797792788520","hddamico#7928","2021-12-10","let’s work together folks, we should announce it asap.","",""
"827362797792788520","hddamico#7928","2021-12-10","quotes from committee members 

- She's a 17 year old black woman so sends a clear signal that diversity is important to us.

- the Whitney Houston drop / project - @justinaversano.eth pls help me elaborating better here 

- Justin is fighting for her and as the leading voice in the space.

- For the specific piece, that's more subjective - we think it's a grail and therefore worth paying a premium.","",""
